artist,age,abstractLength,influencedCount,artsCount
http://dbpedia.org/resource/Sergei_Ivanovich_Osipov,,,0,1
http://dbpedia.org/resource/Tintoretto,76,874,0,7
http://dbpedia.org/resource/Len_Lye,79,747,0,1
http://dbpedia.org/resource/Michelangelo,89,2458,14,14
http://dbpedia.org/resource/Isamu_Noguchi,84,767,0,1
http://dbpedia.org/resource/Matthias_Gr%C3%BCnewald,,,0,2
http://dbpedia.org/resource/Paul_Matisse,,,0,1
http://dbpedia.org/resource/Edvard_Munch,81,751,0,1
http://dbpedia.org/resource/Fra_Angelico,,,0,8
http://dbpedia.org/resource/Edward_Hodges_Baily,79,148,0,1
http://dbpedia.org/resource/James_Earle_Fraser_(sculptor),77,82,0,4
http://dbpedia.org/resource/Emanuel_Leutze,52,211,0,2
http://dbpedia.org/resource/Paolo_Veronese,,,0,5
http://dbpedia.org/resource/Alexander_Semionov,62,414,0,1
http://dbpedia.org/resource/Giorgione,,,0,2
http://dbpedia.org/resource/George_Caleb_Bingham,68,602,0,1
http://dbpedia.org/resource/Geertgen_tot_Sint_Jans,,,0,1
http://dbpedia.org/resource/Giuseppe_Moretti,,,0,1
http://dbpedia.org/resource/Charles_Allston_Collins,45,150,0,1
http://dbpedia.org/resource/Armand_Toussaint,,,0,1
http://dbpedia.org/resource/Dante_Gabriel_Rossetti,54,1193,4,4
http://dbpedia.org/resource/Simone_Martini,,,0,1
http://dbpedia.org/resource/Jean-Antoine_Houdon,87,476,0,1
http://dbpedia.org/resource/Christian_Krohg,73,205,0,1
http://dbpedia.org/resource/Jean_Auguste_Dominique_Ingres,87,1013,0,4
http://dbpedia.org/resource/Juan_Luna,42,911,0,1
http://dbpedia.org/resource/Theodore_Cotillo_Barbarossa,,,0,1
http://dbpedia.org/resource/Gutzon_Borglum,74,283,0,1
http://dbpedia.org/resource/Max_Ernst,85,181,0,9
http://dbpedia.org/resource/Camille_Pissarro,73,1615,2,2
http://dbpedia.org/resource/Albrecht_Altdorfer,,,0,1
http://dbpedia.org/resource/W%C3%A4in%C3%B6_Aaltonen,72,1527,0,2
http://dbpedia.org/resource/Henry_Fuseli,84,149,1,1
http://dbpedia.org/resource/Vincent_van_Gogh,37,2353,47,47
http://dbpedia.org/resource/Henri_Matisse,85,862,0,29
http://dbpedia.org/resource/Jack_Butler_Yeats,86,432,0,1
http://dbpedia.org/resource/Roy_Lichtenstein,,,0,3
http://dbpedia.org/resource/George_Greenamyer,,,0,1
http://dbpedia.org/resource/Barbara_Hepworth,,,0,4
http://dbpedia.org/resource/John_Henry_Twachtman,49,525,0,1
http://dbpedia.org/resource/Alberto_Giacometti,65,397,0,1
http://dbpedia.org/resource/Nikolai_Timkov,81,508,0,1
http://dbpedia.org/resource/Domenico_Ghirlandaio,45,140,0,1
http://dbpedia.org/resource/Paul_Fjelde,92,87,0,1
http://dbpedia.org/resource/Julian_Voss-Andreae,,,0,1
http://dbpedia.org/resource/Alfred_Thompson_Bricher,71,139,0,1
http://dbpedia.org/resource/Charles_Conder,41,265,0,1
http://dbpedia.org/resource/Pablo_Picasso,92,1360,18,18
http://dbpedia.org/resource/Pablo_Picasso,92,1360,18,18
http://dbpedia.org/resource/George_Rickey,95,139,0,2
http://dbpedia.org/resource/Lucien_Wercollier,94,3237,0,2
http://dbpedia.org/resource/James_Wines,,,0,1
http://dbpedia.org/resource/Cimabue,,,1,1
http://dbpedia.org/resource/Diego_Vel%C3%A1zquez,61,853,12,12
http://dbpedia.org/resource/Marcel_Duchamp,,,0,2
http://dbpedia.org/resource/John_Singer_Sargent,69,1414,0,3
http://dbpedia.org/resource/David_Smith_(sculptor),59,177,0,5
http://dbpedia.org/resource/Vito_D'Anna,51,294,1,1
http://dbpedia.org/resource/Robert_Edge_Pine,,,0,1
http://dbpedia.org/resource/Paul_Signac,72,171,2,2
http://dbpedia.org/resource/Seymour_Lipton,83,568,0,1
http://dbpedia.org/resource/Gustave_Courbet,58,732,6,6
http://dbpedia.org/resource/Johannes_Vermeer,43,1587,0,23
http://dbpedia.org/resource/Nora_Naranjo-Morse,,,0,1
http://dbpedia.org/resource/Adolph_Menzel,90,1079,0,1
http://dbpedia.org/resource/Ivor_Roberts-Jones,83,754,0,1
http://dbpedia.org/resource/Pablo_Picasso,92,1360,18,18
http://dbpedia.org/resource/Leon_Hermant,,,0,1
http://dbpedia.org/resource/Julian_Opie,,,0,1
http://dbpedia.org/resource/Antoine_Watteau,37,511,0,1
http://dbpedia.org/resource/Henry_Hobson_Richardson,48,377,0,1
http://dbpedia.org/resource/Arthur_Hughes_(artist),83,199,0,2
http://dbpedia.org/resource/Zenos_Frudakis,,,0,1
http://dbpedia.org/resource/Alexander_Calder,78,397,2,2
http://dbpedia.org/resource/Masaccio,,,0,1
http://dbpedia.org/resource/Paul_Gauguin,55,1012,2,2
http://dbpedia.org/resource/Francesco_Guardi,81,249,0,1
http://dbpedia.org/resource/Duccio,,,0,2
http://dbpedia.org/resource/Vladimir_Tretchikoff,93,820,0,2
http://dbpedia.org/resource/Elmgreen_and_Dragset,,,0,1
http://dbpedia.org/resource/Sidney_Waugh,59,339,0,1
http://dbpedia.org/resource/Ron_Robertson-Swann,,,0,1
http://dbpedia.org/resource/Jan_Matejko,55,853,4,4
http://dbpedia.org/resource/Pieter_Bruegel_the_Elder,,,16,16
http://dbpedia.org/resource/Eug%C3%A8ne_Delacroix,65,1509,11,11
http://dbpedia.org/resource/Francis_Bicknell_Carpenter,70,493,0,1
http://dbpedia.org/resource/Pietro_Perugino,,,0,10
http://dbpedia.org/resource/Evelyn_Beatrice_Longman,80,333,0,1
http://dbpedia.org/resource/Willem_Drost,26,160,0,1
http://dbpedia.org/resource/Andy_Warhol,59,1849,0,2
http://dbpedia.org/resource/Evelyn_De_Morgan,64,1381,0,4
http://dbpedia.org/resource/Gorham_Manufacturing_Company,,,0,1
http://dbpedia.org/resource/Ken_Shuttleworth_(architect),,,0,1
http://dbpedia.org/resource/Edmund_Lewandowski,,,0,1
http://dbpedia.org/resource/Jean-Baptiste-Camille_Corot,79,394,1,1
http://dbpedia.org/resource/John_Trumbull,,,0,3
http://dbpedia.org/resource/Vittore_Carpaccio,,,0,6
http://dbpedia.org/resource/John_Martin_(painter),65,104,0,1
http://dbpedia.org/resource/Herbert_James_Draper,,,0,1
http://dbpedia.org/resource/Frederic_Edwin_Church,74,317,0,2
http://dbpedia.org/resource/Jean-L%C3%A9on_G%C3%A9r%C3%B4me,80,466,0,1
http://dbpedia.org/resource/Charles_Henry_Niehaus,80,109,0,1
http://dbpedia.org/resource/Paolo_Uccello,,,0,1
http://dbpedia.org/resource/Zhang_Zeduan,,,0,1
http://dbpedia.org/resource/John_Torreano,,,0,1
http://dbpedia.org/resource/Georges_de_La_Tour,,,0,2
http://dbpedia.org/resource/Lorado_Taft,76,191,6,6
http://dbpedia.org/resource/Hans_Holbein_the_Younger,,,0,5
http://dbpedia.org/resource/Abbott_Handerson_Thayer,72,875,0,2
http://dbpedia.org/resource/John_Brack,79,397,0,1
http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Millet,61,267,1,1
http://dbpedia.org/resource/Pieter_de_Hooch,,,0,2
http://dbpedia.org/resource/Michelangelo,89,2458,14,14
http://dbpedia.org/resource/Jorge_Gonz%C3%A1lez_Camarena,,,0,1
http://dbpedia.org/resource/Andy_Scott_(sculptor),,,0,1
http://dbpedia.org/resource/Richard_Hamilton_(artist),89,409,0,1
http://dbpedia.org/resource/Ivan_Shishkin,66,1864,0,1
http://dbpedia.org/resource/Daniel_Maclise,64,170,0,1
http://dbpedia.org/resource/Parmigianino,37,396,0,8
http://dbpedia.org/resource/Paul_Dubois_(sculptor),76,89,0,1
http://dbpedia.org/resource/Sorel_Etrog,,,0,1
http://dbpedia.org/resource/John_A._Wilson_(sculptor),,,0,1
http://dbpedia.org/resource/Gerhard_Marcks,92,154,0,1
http://dbpedia.org/resource/Albert_Bierstadt,72,794,0,1
http://dbpedia.org/resource/Prince_Rupert_of_the_Rhine,63,2538,0,1
http://dbpedia.org/resource/Caravaggio,39,3020,18,18
http://dbpedia.org/resource/Edward_Hopper,85,364,0,6
http://dbpedia.org/resource/Umberto_Boccioni,34,480,0,2
http://dbpedia.org/resource/Max_Bill,86,146,0,1
http://dbpedia.org/resource/Ois%C3%ADn_Kelly,,,0,1
http://dbpedia.org/resource/Thomas_Gainsborough,61,1233,0,2
http://dbpedia.org/resource/Anish_Kapoor,,,0,1
http://dbpedia.org/resource/Dirck_van_Baburen,,,2,2
http://dbpedia.org/resource/Thomas_Heatherwick,,,0,1
http://dbpedia.org/resource/Andrei_Rublev,,,0,1
http://dbpedia.org/resource/Francisco_de_Zurbar%C3%A1n,66,328,0,1
http://dbpedia.org/resource/Pierre_Auguste_Cot,46,109,0,1
http://dbpedia.org/resource/Tom_Thomson,40,420,0,1
http://dbpedia.org/resource/Jan_Steen,,,0,1
http://dbpedia.org/resource/Jackson_Pollock,44,1115,1,1
http://dbpedia.org/resource/Joseph_Young,84,4174,0,1
http://dbpedia.org/resource/Gustave_Boulanger,,,0,1
http://dbpedia.org/resource/Guido_Reni,67,91,0,1
http://dbpedia.org/resource/Francisco_Rod%C3%B3n,,,0,1
http://dbpedia.org/resource/Ludvig_Karsten,50,479,0,1
http://dbpedia.org/resource/Ramon_Mart%C3%AD_Alsina,,,0,1
http://dbpedia.org/resource/Filippino_Lippi,,,0,2
http://dbpedia.org/resource/Jean_Dubuffet,84,298,0,1
http://dbpedia.org/resource/Th%C3%A9odore_G%C3%A9ricault,33,277,0,3
http://dbpedia.org/resource/Charles_Willson_Peale,86,253,0,1
http://dbpedia.org/resource/Marcus_Larson,39,395,0,1
http://dbpedia.org/resource/Giulio_Romano,,,0,1
http://dbpedia.org/resource/Stefano_da_Verona,,,0,1
http://dbpedia.org/resource/Kay_Sage,,,0,1
http://dbpedia.org/resource/Roland_Hinton_Perry,71,95,0,1
http://dbpedia.org/resource/William_Trethewey,64,250,0,1
http://dbpedia.org/resource/Tom_Otterness,,,0,1
http://dbpedia.org/resource/James_Tissot,66,124,0,1
http://dbpedia.org/resource/Michelangelo,89,2458,14,14
http://dbpedia.org/resource/Ernst_Friedrich_August_Rietschel,57,92,0,1
http://dbpedia.org/resource/Quentin_Matsys,,,0,1
http://dbpedia.org/resource/Georg_Friedrich_Kersting,62,197,0,1
http://dbpedia.org/resource/Konstantin_Savitsky,61,329,0,1
http://dbpedia.org/resource/Antonio_Canova,65,408,0,3
http://dbpedia.org/resource/Coppo_di_Marcovaldo,,,0,1
http://dbpedia.org/resource/Horatio_Greenough,47,189,0,1
http://dbpedia.org/resource/George_Blackall_Simonds,86,481,0,2
http://dbpedia.org/resource/Louis_Janmot,,,0,1
http://dbpedia.org/resource/Carl_Fredrik_Hill,62,73,0,1
http://dbpedia.org/resource/Lee_Lawrie,86,590,0,1
http://dbpedia.org/resource/George_Sugarman,,,0,1
http://dbpedia.org/resource/Antoine-Jean_Gros,64,140,2,2
http://dbpedia.org/resource/Peter_Paul_Rubens,63,605,0,11
http://dbpedia.org/resource/Lorenzo_Ghiberti,,,0,1
http://dbpedia.org/resource/Rabindranath_Tagore,80,2530,0,1
http://dbpedia.org/resource/Eug%C3%A8ne_Delacroix,65,1509,11,11
http://dbpedia.org/resource/Russell_Drysdale,69,361,0,1
http://dbpedia.org/resource/William-Adolphe_Bouguereau,,,0,6
http://dbpedia.org/resource/Domenico_Veneziano,,,0,1
http://dbpedia.org/resource/Frederick_McCubbin,62,2762,0,1
http://dbpedia.org/resource/%C3%89douard_Manet,51,482,17,17
http://dbpedia.org/resource/Joseph_Farquharson,89,285,0,1
http://dbpedia.org/resource/Adam_Elsheimer,32,465,0,1
http://dbpedia.org/resource/Joan_Mir%C3%B3,90,678,13,13
http://dbpedia.org/resource/J%C3%B3zef_Gos%C5%82awski_(sculptor),,,0,2
http://dbpedia.org/resource/David_K._Rubins,,,0,3
http://dbpedia.org/resource/Augustus_Saint-Gaudens,59,1224,1,1
http://dbpedia.org/resource/Elizabeth_Shoumatoff,,,0,1
http://dbpedia.org/resource/William_Wetmore_Story,76,115,0,1
http://dbpedia.org/resource/T._E._Breitenbach,,,0,1
http://dbpedia.org/resource/Gustav_Klimt,56,369,0,3
http://dbpedia.org/resource/Raphael,37,1644,57,57
http://dbpedia.org/resource/Jordi_Bonet,47,1552,0,1
http://dbpedia.org/resource/Giovanni_Fattori,,,0,1
http://dbpedia.org/resource/Winslow_Homer,,,0,1
http://dbpedia.org/resource/Luca_Signorelli,,,0,4
http://dbpedia.org/resource/Jacques-Louis_David,77,954,0,10
http://dbpedia.org/resource/William_Holman_Hunt,83,139,0,7
http://dbpedia.org/resource/Carlo_Crivelli,,,0,1
http://dbpedia.org/resource/Paul_Peel,32,219,0,1
http://dbpedia.org/resource/Thomas_Luny,,,0,1
http://dbpedia.org/resource/Lorenzo_Lotto,,,0,1
http://dbpedia.org/resource/Rembrandt,63,1572,17,17
http://dbpedia.org/resource/Tony_Cragg,,,0,1
http://dbpedia.org/resource/Alexej_von_Jawlensky,77,266,0,1
http://dbpedia.org/resource/Jasper_Johns,,,1,1
http://dbpedia.org/resource/Caspar_David_Friedrich,66,2736,0,8
http://dbpedia.org/resource/John_Raimondi,,,0,1
